stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
394300,,"千本鞍馬口","千本鞍馬口(南行)",35.03658791,135.74027811,394300,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu394.htm,0,,,,
394400,,"千本鞍馬口","千本鞍馬口(北行)",35.03660197,135.74005918,394400,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu394.htm,0,,,,
395300,,"乾隆校前","乾隆校前(南行)",35.03450523,135.74129267,395300,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu395.htm,0,,,,
395400,,"乾隆校前","乾隆校前(北行)",35.03393377,135.74124793,395400,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu395.htm,0,,,,
396300,,"千本上立売","千本上立売(南行)",35.03217240,135.74195913,396300,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu396.htm,0,,,,
396400,,"千本上立売","千本上立売(北行)",35.03276074,135.74158683,396400,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu396.htm,0,,,,
397100,,"今出川浄福寺","今出川浄福寺(東行)",35.02992902,135.74565985,397100,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu397.htm,0,,,,
397200,,"今出川浄福寺","今出川浄福寺(西行)",35.02980365,135.74589116,397200,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu397.htm,0,,,,
398100,,"青少年科学センター前","青少年科学センター前(東行)",34.95728392,135.76699766,398100,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu398.htm,0,,,,A
398200,,"青少年科学センター前","青少年科学センター前(西行)",34.95714917,135.76587368,398200,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu398.htm,0,,,,B
400100,,"智恵光院中立売","智恵光院中立売(東行)",35.02504640,135.74626226,400100,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu400.htm,0,,,,
400200,,"智恵光院中立売","智恵光院中立売(西行)",35.02496016,135.74564799,400200,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu400.htm,0,,,,
401300,,"桂滝川町","桂滝川町(南行)",34.97675975,135.71305089,401300,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu401.htm,0,,,,
401400,,"桂滝川町","桂滝川町(北行)",34.97675637,135.71281375,401400,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu401.htm,0,,,,
402100,,"下津林六反田","下津林六反田(東行)",34.97317429,135.70737572,402100,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu402.htm,0,,,,
402200,,"下津林六反田","下津林六反田(西行)",34.97303619,135.70939096,402200,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu402.htm,0,,,,
403100,,"西大路御池","西大路御池(C)",35.01103126,135.73057490,403100,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu403.htm,0,,,,C
403300,,"西大路御池","西大路御池(A)",35.01161133,135.73200483,403300,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu403.htm,0,,,,A
403400,,"西大路御池","西大路御池(B)",35.01045445,135.73174047,403400,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu403.htm,0,,,,B
404300,,"太子道","太子道(南行)",35.01490101,135.73196543,404300,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu404.htm,0,,,,
404410,,"太子道","太子道(北行北詰)",35.01620193,135.73173561,404410,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu404.htm,0,,,,
404420,,"太子道","太子道(北行南詰)",35.01502626,135.73174481,404420,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu404.htm,0,,,,
405100,,"京都先端科学大学前","京都先端科学大学前(東行)",35.01095535,135.71858174,405100,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu405.htm,0,,,,A
405200,,"京都先端科学大学前","京都先端科学大学前(西行)",35.01076137,135.71880267,405200,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu405.htm,0,,,,
406100,,"山ノ内御池","山ノ内御池(東行)",35.01098957,135.72190779,406100,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu406.htm,0,,,,A
406200,,"山ノ内御池","山ノ内御池(西行)",35.01082959,135.72194469,406200,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu406.htm,0,,,,
407100,,"西小路御池","西小路御池(東行)",35.01099461,135.72496069,407100,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu407.htm,0,,,,
407200,,"西小路御池","西小路御池(西行)",35.01084048,135.72489138,407200,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu407.htm,0,,,,B
408300,,"牛ヶ瀬","牛ヶ瀬(南行)",34.97105263,135.71662943,408300,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu408.htm,0,,,,A
408400,,"牛ヶ瀬","牛ヶ瀬(北行)",34.97065452,135.71664906,408400,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu408.htm,0,,,,B
409100,,"西ノ京藤ノ木町","西ノ京藤ノ木町(東行)",35.01538615,135.72355109,409100,https://www2.city.kyoto.lg.jp/kotsu/busdia/hyperdia/menu409.htm,0,,,,
