table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,zh-cn,九头龙弁天前,,,九頭龍弁天前
stops,stop_name,zh-tw,九頭龍弁天前,,,九頭龍弁天前
stops,stop_name,ko,쿠즈류벤텐바에,,,九頭龍弁天前
stops,stop_name,ja-Hrkt,くずりゅうべんてんまえ,,,九頭龍弁天前
stops,stop_name,ja,二の瀬,,,二の瀬
stops,stop_name,en,Ninose,,,二の瀬
stops,stop_name,zh-cn,二濑,,,二の瀬
stops,stop_name,zh-tw,二瀨,,,二の瀬
stops,stop_name,ko,니노세,,,二の瀬
stops,stop_name,ja-Hrkt,にのせ,,,二の瀬
stops,stop_name,ja,二条駅前,,,二条駅前
stops,stop_name,en,Nijo Sta.,,,二条駅前
stops,stop_name,zh-cn,二条站前,,,二条駅前
stops,stop_name,zh-tw,二條站前,,,二条駅前
stops,stop_name,ko,니조에키마에,,,二条駅前
stops,stop_name,ja-Hrkt,にじょうえきまえ,,,二条駅前
stops,stop_name,ja,二軒茶屋,,,二軒茶屋
stops,stop_name,en,Nikenjaya,,,二軒茶屋
stops,stop_name,zh-cn,二轩茶屋,,,二軒茶屋
stops,stop_name,zh-tw,二軒茶屋,,,二軒茶屋
stops,stop_name,ko,니켄쟈야,,,二軒茶屋
stops,stop_name,ja-Hrkt,にけんぢゃや,,,二軒茶屋
stops,stop_name,ja,五条坂,,,五条坂
stops,stop_name,en,Gojozaka,,,五条坂
stops,stop_name,zh-cn,五条坂,,,五条坂
stops,stop_name,zh-tw,五條阪,,,五条坂
stops,stop_name,ko,고조자카,,,五条坂
stops,stop_name,ja-Hrkt,ごじょうざか,,,五条坂
stops,stop_name,ja,井の口橋,,,井の口橋
stops,stop_name,en,Inokuchibashi,,,井の口橋
stops,stop_name,zh-cn,井口桥,,,井の口橋
stops,stop_name,zh-tw,井口橋,,,井の口橋
stops,stop_name,ko,이노쿠치바시,,,井の口橋
stops,stop_name,ja-Hrkt,いのくちばし,,,井の口橋
stops,stop_name,ja,京大正門前,,,京大正門前
stops,stop_name,en,Kyodai Seimon-mae (Kyoto Univ.),,,京大正門前
stops,stop_name,zh-cn,京大正门前（京都大学）,,,京大正門前
stops,stop_name,zh-tw,京大正門前（京都大學）,,,京大正門前
stops,stop_name,ko,교다이세이몬마에（교토대학）,,,京大正門前
stops,stop_name,ja-Hrkt,きょうだいせいもんまえ,,,京大正門前
stops,stop_name,ja,京大病院前,,,京大病院前
stops,stop_name,en,Kyodai Byoin-mae (Kyoto Univ. Hospital),,,京大病院前
stops,stop_name,zh-cn,京大病院前（京都大学医学院附属医院）,,,京大病院前
stops,stop_name,zh-tw,京大病院前（京都大學醫學院附屬醫院）,,,京大病院前
stops,stop_name,ko,교다이뵤인마에（교토대학 의학부 부속병원）,,,京大病院前
stops,stop_name,ja-Hrkt,きょうだいびょういんまえ,,,京大病院前
stops,stop_name,ja,京大農学部前,,,京大農学部前
stops,stop_name,en,Kyodai Nogakubu-mae (Faculty of Agriculture Kyoto Univ.) ,,,京大農学部前
stops,stop_name,zh-cn,京大农学部前,,,京大農学部前
stops,stop_name,zh-tw,京大農學部前,,,京大農学部前
stops,stop_name,ko,교다이노가쿠부마에,,,京大農学部前
stops,stop_name,ja-Hrkt,きょうだいのうがくぶまえ,,,京大農学部前
stops,stop_name,ja,京都リサーチパーク前,,,京都リサーチパーク前
stops,stop_name,en,Kyoto Research Park-mae,,,京都リサーチパーク前
stops,stop_name,zh-cn,京都Research Park前（京都研究园）,,,京都リサーチパーク前
stops,stop_name,zh-tw,京都Research Park前（京都研究園）,,,京都リサーチパーク前
stops,stop_name,ko,교토리사치파쿠마에,,,京都リサーチパーク前
stops,stop_name,ja-Hrkt,きょうとりさーちぱーくまえ,,,京都リサーチパーク前
stops,stop_name,ja,京都外大前,,,京都外大前
stops,stop_name,en,Kyoto Gaidai-mae (Kyoto University of Foreign Studies),,,京都外大前
stops,stop_name,zh-cn,京都外大前（西贝川町）,,,京都外大前
stops,stop_name,zh-tw,京都外大前（西貝川町）,,,京都外大前
stops,stop_name,ko,교토 가이다이마에 (니시카이가와초),,,京都外大前
stops,stop_name,ja-Hrkt,きょうとがいだいまえ,,,京都外大前
stops,stop_name,ja,京都市役所前,,,京都市役所前
stops,stop_name,en,Kyoto Shiyakusho-mae (Kyoto City Hall),,,京都市役所前
stops,stop_name,zh-cn,京都市役所前（京都市政府）,,,京都市役所前
stops,stop_name,zh-tw,京都市役所前（京都市政府）,,,京都市役所前
stops,stop_name,ko,교토시야쿠쇼마에（교토시청）,,,京都市役所前
stops,stop_name,ja-Hrkt,きょうとしやくしょまえ,,,京都市役所前
stops,stop_name,ja,京都産大 本山寮前,,,京都産大 本山寮前
stops,stop_name,en,Kyotosandai Motoyamaryo-mae,,,京都産大 本山寮前
stops,stop_name,zh-cn,京都产大 本山寮前,,,京都産大 本山寮前
stops,stop_name,zh-tw,京都産大 本山寮前,,,京都産大 本山寮前
stops,stop_name,ko,교토 산다이 모토야마 료,,,京都産大 本山寮前
stops,stop_name,ja-Hrkt,きょうとさんだい もとやまりょうまえ,,,京都産大 本山寮前
stops,stop_name,ja,京都産業大学前,,,京都産業大学前
stops,stop_name,en,Kyoto Sangyo University,,,京都産業大学前
stops,stop_name,zh-cn,京都产业大学前,,,京都産業大学前
stops,stop_name,zh-tw,京都產業大學前,,,京都産業大学前
stops,stop_name,ko,교토 산교다이가쿠마에,,,京都産業大学前
stops,stop_name,ja-Hrkt,きょうとさんぎょうだいがくまえ,,,京都産業大学前
stops,stop_name,ja,京都精華大学前,,,京都精華大学前
stops,stop_name,en,Kyoto Seika Univ.,,,京都精華大学前
stops,stop_name,zh-cn,京都精华大学前,,,京都精華大学前
stops,stop_name,zh-tw,京都精華大學前,,,京都精華大学前
stops,stop_name,ko,교토 세이카다이가쿠마에,,,京都精華大学前
stops,stop_name,ja-Hrkt,きょうとせいかだいがくまえ,,,京都精華大学前
stops,stop_name,ja,京都駅前,,,京都駅前
stops,stop_name,en,Kyoto Sta.,,,京都駅前
stops,stop_name,zh-cn,京都站前,,,京都駅前
stops,stop_name,zh-tw,京都站前,,,京都駅前
stops,stop_name,ko,교토에키마에,,,京都駅前
stops,stop_name,ja-Hrkt,きょうとえきまえ,,,京都駅前
stops,stop_name,ja,伯楽町,,,伯楽町
stops,stop_name,en,Hakurakucho,,,伯楽町
stops,stop_name,zh-cn,伯乐町,,,伯楽町
stops,stop_name,zh-tw,伯樂町,,,伯楽町
stops,stop_name,ko,하쿠라쿠초,,,伯楽町
stops,stop_name,ja-Hrkt,はくらくちょう,,,伯楽町
stops,stop_name,ja,修学院道,,,修学院道
stops,stop_name,en,Shugakuin-michi,,,修学院道
stops,stop_name,zh-cn,修学院道,,,修学院道
stops,stop_name,zh-tw,修學院道,,,修学院道
stops,stop_name,ko,슈가쿠인미치,,,修学院道
stops,stop_name,ja-Hrkt,しゅうがくいんみち,,,修学院道
stops,stop_name,ja,修学院離宮道,,,修学院離宮道
stops,stop_name,en,Shugakuinrikyu-michi (Shugakuin Imperial Villa),,,修学院離宮道
stops,stop_name,zh-cn,修学院离宫道,,,修学院離宮道
stops,stop_name,zh-tw,修學院離宮道,,,修学院離宮道
stops,stop_name,ko,슈가쿠인리큐미치,,,修学院離宮道
stops,stop_name,ja-Hrkt,しゅうがくいんりきゅうみち,,,修学院離宮道
stops,stop_name,ja,修学院駅前,,,修学院駅前
stops,stop_name,en,Shugakuin Sta.,,,修学院駅前
stops,stop_name,zh-cn,修学院站前,,,修学院駅前
stops,stop_name,zh-tw,修學院站前,,,修学院駅前
stops,stop_name,ko,슈가쿠인에키마에,,,修学院駅前
stops,stop_name,ja-Hrkt,しゅうがくいんえきまえ,,,修学院駅前
stops,stop_name,ja,光華学園前,,,光華学園前
stops,stop_name,en,Koka Gakuen-mae (Kyoto Koka University),,,光華学園前
