route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
00100,03001,00100_03001_9453,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9453,S_00100000,1,0
00100,03001,00100_03001_9456,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9456,S_00100000,1,0
00100,03001,00100_03001_9458,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9458,S_00100000,1,0
00100,03001,00100_03001_9459,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9459,S_00100000,1,0
00100,03001,00100_03001_9462,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9462,S_00100000,1,0
00100,03001,00100_03001_9463,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9463,S_00100000,1,0
00100,03001,00100_03001_9470,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9470,S_00100000,1,0
00100,03001,00100_03001_9471,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9471,S_00100000,1,0
00100,03001,00100_03001_9492,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9492,S_00100000,1,0
00100,03001,00100_03001_9493,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9493,S_00100000,1,0
00100,03001,00100_03001_9504,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9504,S_00100000,1,0
00100,03001,00100_03001_9508,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9508,S_00100000,1,0
00100,03001,00100_03001_9509,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9509,S_00100000,1,0
00100,03001,00100_03001_9511,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9511,S_00100000,1,0
00100,03001,00100_03001_9513,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9513,S_00100000,1,0
00100,03001,00100_03001_9520,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9520,S_00100000,1,0
00100,03001,00100_03001_9521,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9521,S_00100000,1,0
00100,03001,00100_03001_9528,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9528,S_00100000,1,0
00100,03001,00100_03001_9529,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9529,S_00100000,1,0
00100,03001,00100_03001_9551,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9551,S_00100000,1,0
00100,03001,00100_03001_9554,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9554,S_00100000,1,0
00100,03001,00100_03001_9558,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9558,S_00100000,1,0
00100,03001,00100_03001_9559,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9559,S_00100000,1,0
00100,03001,00100_03001_9562,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9562,S_00100000,1,0
00100,03001,00100_03001_9565,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9565,S_00100000,1,0
00100,03001,00100_03001_9577,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9577,S_00100000,1,0
00100,03001,00100_03001_9578,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9578,S_00100000,1,0
00100,03001,00100_03001_9583,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9583,S_00100000,1,0
00100,03001,00100_03001_9584,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9584,S_00100000,1,0
00100,03001,00100_03001_9585,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9585,S_00100000,1,0
00100,03001,00100_03001_9586,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9586,S_00100000,1,0
00100,03001,00100_03001_9591,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9591,S_00100000,1,0
00100,03001,00100_03001_9592,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9592,S_00100000,1,0
00100,03001,00100_03001_9607,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9607,S_00100000,1,0
00100,03001,00100_03001_9608,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9608,S_00100000,1,0
00100,03001,00100_03001_9755,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9755,S_00100000,1,0
00100,03001,00100_03001_9793,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9793,S_00100000,1,0
00100,03001,00100_03001_9806,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9806,S_00100000,1,0
00302,01001,00302_01001_2696,四条河原町・百万遍・上終町,,1,00302_01001_2825,S_00301001,1,0
003A0,01001,00302_01001_2697,出町柳駅・四条河原町・京都外大,,1,00302_01001_2697,S_00301002,1,0
00302,01001,00302_01001_2698,四条河原町・百万遍・上終町,,1,003A0_01001_2779,S_00302010,1,0
003A0,01001,00302_01001_2699,出町柳駅・四条河原町・松尾橋,,1,00302_01001_2699,S_00302020,1,0
003A0,01001,00302_01001_2700,四条河原町・百万遍・北白川仕伏町,,1,00302_01001_2700,S_00302030,1,0
00302,01001,00302_01001_2713,四条河原町・百万遍・上終町,,1,00302_01001_2806,S_00301001,1,0
003A0,01001,00302_01001_2714,出町柳駅・四条河原町・京都外大,,1,00302_01001_2714,S_00301002,1,0
00302,01001,00302_01001_2724,四条河原町・百万遍・上終町,,1,00302_01001_2857,S_00301001,1,0
003A0,01001,00302_01001_2725,出町柳駅・四条河原町・京都外大,,1,00302_01001_2725,S_00301002,1,0
00302,01001,00302_01001_2726,四条河原町・百万遍・上終町,,1,00302_01001_2819,S_00302010,1,0
